28/04/2014 18:57:47:866 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35477
28/04/2014 18:57:47:883 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35545
28/04/2014 18:57:47:899 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35607
28/04/2014 18:57:47:916 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.3568
28/04/2014 18:57:47:932 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35728
28/04/2014 18:57:47:949 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35771
28/04/2014 18:57:47:966 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.3581
28/04/2014 18:57:47:982 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35863
28/04/2014 18:57:47:999 (4.1, 1.0, -10.2) (0.0, -0.6, 0.0, 0.8) (0.0, -0.6, 0.0, 0.8) 1 1 60.35892
28/04/2014 18:57:48:015 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.8) (0.0, -0.7, 0.0, 0.8) 1 1 60.3592
28/04/2014 18:57:48:032 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 60.35961
28/04/2014 18:57:48:048 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 60.35981
28/04/2014 18:57:48:065 (4.1, 1.0, -10.2) (0.0, -0.8, 0.0, 0.7) (0.0, -0.8, 0.0, 0.7) 1 1 60.36
28/04/2014 18:57:48:082 (4.1, 1.0, -10.2) (0.0, -0.8, 0.0, 0.6) (0.0, -0.8, 0.0, 0.6) 1 1 60.36033
28/04/2014 18:57:48:098 (4.1, 1.0, -10.2) (0.0, -0.8, 0.0, 0.6) (0.0, -0.8, 0.0, 0.6) 1 1 60.36046
28/04/2014 18:57:48:115 (4.1, 1.0, -10.2) (0.0, -0.8, 0.0, 0.5) (0.0, -0.8, 0.0, 0.5) 1 1 60.36057
28/04/2014 18:57:48:131 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.5) (0.0, -0.9, 0.0, 0.5) 1 1 60.36085
28/04/2014 18:57:48:148 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.5) (0.0, -0.9, 0.0, 0.5) 1 1 60.36094
28/04/2014 18:57:48:164 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.5) (0.0, -0.9, 0.0, 0.5) 1 1 60.361
28/04/2014 18:57:48:181 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.5) (0.0, -0.9, 0.0, 0.5) 1 1 60.36124
28/04/2014 18:57:48:197 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.4) (0.0, -0.9, 0.0, 0.4) 1 1 60.36128
28/04/2014 18:57:48:214 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.4) (0.0, -0.9, 0.0, 0.4) 1 1 60.36131
28/04/2014 18:57:48:231 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.4) (0.0, -0.9, 0.0, 0.4) 1 1 60.36135
28/04/2014 18:57:48:247 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.4) (0.0, -0.9, 0.0, 0.4) 1 1 60.36121
28/04/2014 18:57:48:264 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.4) (0.0, -0.9, 0.0, 0.4) 1 1 60.36159
28/04/2014 18:57:48:280 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.3) (0.0, -0.9, 0.0, 0.3) 1 1 60.36143
28/04/2014 18:57:48:297 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.3) (0.0, -0.9, 0.0, 0.3) 1 1 60.36162
28/04/2014 18:57:48:313 (4.1, 1.0, -10.2) (0.0, -0.9, 0.0, 0.3) (0.0, -0.9, 0.0, 0.3) 1 1 60.36179
28/04/2014 18:57:48:330 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.3) (0.0, -1.0, 0.0, 0.3) 1 1 60.36177
28/04/2014 18:57:48:347 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.3) (0.0, -1.0, 0.0, 0.3) 1 1 60.36176
28/04/2014 18:57:48:363 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.3) (0.0, -1.0, 0.0, 0.3) 1 1 60.36158
28/04/2014 18:57:48:380 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.2) (0.0, -1.0, 0.0, 0.2) 1 1 60.36176
28/04/2014 18:57:48:396 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.2) (0.0, -1.0, 0.0, 0.2) 1 1 60.36208
28/04/2014 18:57:48:413 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.2) (0.0, -1.0, 0.0, 0.2) 1 1 60.36186
28/04/2014 18:57:48:430 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.2) (0.0, -1.0, 0.0, 0.2) 1 1 60.35215
28/04/2014 18:57:48:446 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.2) (0.0, -1.0, 0.0, 0.2) 1 1 60.36313
28/04/2014 18:57:48:463 (4.1, 1.0, -10.2) (0.0, -1.0, 0.0, 0.1) (0.0, -1.0, 0.0, 0.1) 1 1 60.36298
